technique,movement,clustering,dv,n,W,p_shapiro,normal_at_05
AREA,STATIC,LOW,avgErrorClicks,3,0.75,0.0,False
AREA,STATIC,LOW,avgNormalizedDistance,3,0.7631,0.0291,False
AREA,STATIC,LOW,avgDistanceFromCenter_px,3,0.8212,0.1661,True
AREA,STATIC,MEDIUM,throughput_shannon_nominal_bps,3,0.8987,0.3815,True
AREA,STATIC,MEDIUM,throughput_shannon_effective_bps,3,0.7648,0.0329,False
AREA,STATIC,MEDIUM,throughput_hoffmann_bps,3,0.8987,0.3815,True
AREA,STATIC,MEDIUM,avgTime_ms,3,0.7854,0.0801,True
AREA,STATIC,MEDIUM,precisionRate_percent,3,0.75,0.0,False
AREA,STATIC,MEDIUM,avgErrorClicks,3,0.8547,0.253,True
AREA,STATIC,MEDIUM,avgNormalizedDistance,3,0.9643,0.6369,True
AREA,STATIC,MEDIUM,avgDistanceFromCenter_px,3,0.9937,0.8476,True
AREA,STATIC,HIGH,throughput_shannon_nominal_bps,3,0.763,0.0289,False
AREA,STATIC,HIGH,throughput_shannon_effective_bps,3,0.9539,0.5868,True
AREA,STATIC,HIGH,throughput_hoffmann_bps,3,0.763,0.0289,False
AREA,STATIC,HIGH,avgTime_ms,3,0.8364,0.2048,True
AREA,STATIC,HIGH,precisionRate_percent,3,0.75,0.0,False
AREA,STATIC,HIGH,avgErrorClicks,3,0.9959,0.8777,True
AREA,STATIC,HIGH,avgNormalizedDistance,3,0.8574,0.2605,True
AREA,STATIC,HIGH,avgDistanceFromCenter_px,3,0.8814,0.3285,True
AREA,SLOW,LOW,throughput_shannon_nominal_bps,3,0.8954,0.371,True
AREA,SLOW,LOW,throughput_shannon_effective_bps,3,0.8102,0.139,True
AREA,SLOW,LOW,throughput_hoffmann_bps,3,0.8272,0.1811,True
AREA,SLOW,LOW,avgTime_ms,3,0.7739,0.0536,True
AREA,SLOW,LOW,precisionRate_percent,3,1.0,1.0,True
AREA,SLOW,LOW,avgErrorClicks,3,0.75,0.0,False
AREA,SLOW,LOW,avgNormalizedDistance,3,0.8964,0.3743,True
AREA,SLOW,LOW,avgDistanceFromCenter_px,3,0.9703,0.6692,True
AREA,SLOW,MEDIUM,throughput_shannon_nominal_bps,3,0.77,0.0448,False
AREA,SLOW,MEDIUM,throughput_shannon_effective_bps,3,0.9936,0.8472,True
AREA,SLOW,MEDIUM,throughput_hoffmann_bps,3,0.848,0.2351,True
AREA,SLOW,MEDIUM,avgTime_ms,3,0.7738,0.0535,True
AREA,SLOW,MEDIUM,precisionRate_percent,3,0.9643,0.6369,True
AREA,SLOW,MEDIUM,avgErrorClicks,3,0.9868,0.7804,True
AREA,SLOW,MEDIUM,avgNormalizedDistance,3,0.9983,0.9203,True
AREA,SLOW,MEDIUM,avgDistanceFromCenter_px,3,0.9961,0.8801,True
AREA,SLOW,HIGH,throughput_shannon_nominal_bps,3,0.9813,0.7381,True
AREA,SLOW,HIGH,throughput_shannon_effective_bps,3,0.9721,0.6796,True
AREA,SLOW,HIGH,throughput_hoffmann_bps,3,0.975,0.6967,True
AREA,SLOW,HIGH,avgTime_ms,3,0.8251,0.176,True
AREA,SLOW,HIGH,precisionRate_percent,3,0.75,0.0,False
AREA,SLOW,HIGH,avgErrorClicks,3,0.75,0.0,False
AREA,SLOW,HIGH,avgNormalizedDistance,3,0.7896,0.0899,True
AREA,SLOW,HIGH,avgDistanceFromCenter_px,3,0.8092,0.1367,True
AREA,FAST,LOW,throughput_shannon_nominal_bps,3,0.9631,0.631,True
AREA,FAST,LOW,throughput_shannon_effective_bps,3,0.8779,0.3184,True
AREA,FAST,LOW,throughput_hoffmann_bps,3,0.979,0.7224,True
AREA,FAST,LOW,avgTime_ms,3,0.778,0.0629,True
AREA,FAST,LOW,precisionRate_percent,3,0.9643,0.6369,True
AREA,FAST,LOW,avgErrorClicks,3,0.9423,0.5367,True
AREA,FAST,LOW,avgNormalizedDistance,3,0.9702,0.6686,True
AREA,FAST,LOW,avgDistanceFromCenter_px,3,0.9854,0.7687,True
AREA,FAST,MEDIUM,throughput_shannon_nominal_bps,3,0.7753,0.0569,True
AREA,FAST,MEDIUM,throughput_shannon_effective_bps,3,0.9184,0.4467,True
AREA,FAST,MEDIUM,throughput_hoffmann_bps,3,0.9049,0.4014,True
AREA,FAST,MEDIUM,avgTime_ms,3,0.7661,0.0359,False
AREA,FAST,MEDIUM,precisionRate_percent,3,0.9868,0.7804,True
AREA,FAST,MEDIUM,avgErrorClicks,3,0.9552,0.5928,True
AREA,FAST,MEDIUM,avgNormalizedDistance,3,0.8973,0.3769,True
AREA,FAST,MEDIUM,avgDistanceFromCenter_px,3,0.9123,0.4257,True
AREA,FAST,HIGH,throughput_shannon_nominal_bps,3,0.9087,0.4136,True
AREA,FAST,HIGH,throughput_shannon_effective_bps,3,0.9865,0.7772,True
AREA,FAST,HIGH,throughput_hoffmann_bps,3,0.8907,0.3566,True
AREA,FAST,HIGH,avgTime_ms,3,0.8442,0.225,True
AREA,FAST,HIGH,precisionRate_percent,3,0.75,0.0,False
AREA,FAST,HIGH,avgErrorClicks,3,0.7777,0.0624,True
AREA,FAST,HIGH,avgNormalizedDistance,3,0.7901,0.091,True
AREA,FAST,HIGH,avgDistanceFromCenter_px,3,0.8888,0.3507,True
