participant,technique,movement,clustering,techBlock,condInBlock,throughput_shannon_nominal_bps,throughput_shannon_effective_bps,throughput_hoffmann_bps,avgTime_ms,precisionRate_percent,avgErrorClicks,avgNormalizedDistance,avgDistanceFromCenter_px,medianTime_ms,stdDevTime_ms,effectiveWidth_We_px,endpointSigma_px,effectiveAvgID_bits,shannonAvgID_bits,fitts_regression_r2,fitts_regression_slope,fitts_regression_intercept,fitts_regression_aic,fitts_regression_tp,fitts_regression_n,hoffmann_regression_r2,hoffmann_regression_slope,hoffmann_regression_intercept,hoffmann_regression_aic,hoffmann_regression_tp,hoffmann_regression_n,delta_r2,delta_aic
10,BUBBLE,STATIC,HIGH,3,3,4.46,3.87,4.46,710.4,70.0,0.6,0.898,14.16,675.0,236.1,44.98,10.88,2.613,3.063,0.1527,90.9193,444.71,207.35,11.0,19,0.1527,90.9193,444.71,207.35,11.0,19,0.0,0.0
10,BUBBLE,STATIC,MEDIUM,3,4,5.4,4.85,5.4,542.5,65.0,0.05,0.975,20.33,505.5,116.83,53.21,12.87,2.523,2.819,0.0811,-51.5068,687.4,183.3,,19,0.0811,-51.5068,687.4,183.3,,19,0.0,0.0
10,BUBBLE,SLOW,HIGH,3,5,4.33,3.65,8.21,795.95,55.0,0.65,0.998,15.9,810.5,229.09,47.95,11.6,2.742,3.264,0.0003,6.631,787.41,209.2,150.81,19,0.0535,52.2018,482.87,208.17,19.16,19,0.0532,-1.03
10,BUBBLE,SLOW,MEDIUM,3,6,5.28,3.31,9.31,637.9,50.0,0.25,1.377,23.75,561.5,240.83,100.5,24.32,1.881,3.03,0.012,-30.5441,699.07,204.29,,19,0.0119,14.4212,528.68,204.29,69.34,19,-0.0001,0.0
10,BUBBLE,FAST,LOW,3,7,5.83,3.18,10.3,503.35,20.0,0.0,2.153,39.06,485.5,79.16,128.53,31.1,1.586,2.922,0.1764,40.9761,382.97,166.4,24.4,19,0.1218,16.2804,418.76,167.62,61.42,19,-0.0546,1.22
10,BUBBLE,SLOW,LOW,3,8,6.06,3.23,11.0,532.85,15.0,0.1,1.968,36.53,477.0,166.33,133.61,32.33,1.663,3.106,0.1468,80.1779,285.76,195.26,12.47,19,0.0009,3.3403,516.22,198.26,299.37,19,-0.1459,3.0
10,BUBBLE,FAST,HIGH,3,9,4.86,4.01,8.0,730.9,40.0,0.75,1.13,21.09,614.0,282.26,58.45,14.14,2.551,3.104,0.004,-23.7149,794.66,217.88,,19,0.0008,-4.4411,743.91,217.94,,19,-0.0032,0.06
3,BUBBLE,FAST,LOW,1,1,1.68,1.37,3.23,2387.9,55.0,0.1,1.025,17.24,2291.0,1305.81,58.47,14.15,2.714,3.345,0.1078,518.7861,703.23,273.88,1.93,19,0.0817,330.5084,349.46,274.43,3.03,19,-0.0261,0.55
3,BUBBLE,SLOW,MEDIUM,1,2,1.34,1.05,2.76,2720.9,70.0,0.15,1.01,18.31,2103.0,1887.19,64.16,15.52,2.168,2.858,0.0451,662.396,925.46,288.71,1.51,19,0.0694,519.9486,-205.02,288.22,1.92,19,0.0243,-0.49
3,BUBBLE,STATIC,MEDIUM,1,3,2.19,2.88,2.19,1257.0,100.0,0.0,0.321,5.96,1258.0,303.3,19.28,4.66,3.488,2.686,0.1555,119.5745,931.32,217.86,8.36,19,0.1555,119.5745,931.32,217.86,8.36,19,0.0,0.0
3,BUBBLE,FAST,MEDIUM,1,4,1.96,1.61,3.67,2189.4,65.0,0.45,1.07,18.14,1440.0,1898.42,56.07,13.57,2.514,3.101,0.009,-180.535,2789.64,290.51,,19,0.0027,61.5689,1866.7,290.63,16.24,19,-0.0063,0.12
3,BUBBLE,SLOW,HIGH,1,5,1.49,1.39,3.08,2124.2,90.0,0.15,0.777,13.44,1729.0,1249.54,42.51,10.29,2.421,2.64,0.1321,467.2792,869.77,272.16,2.14,19,0.0854,213.5343,951.28,273.16,4.68,19,-0.0467,1.0
3,BUBBLE,FAST,HIGH,1,6,1.44,1.23,2.8,2948.3,70.0,0.65,0.901,14.77,2207.0,2014.25,51.1,12.36,2.827,3.38,0.033,602.8258,983.61,291.96,1.66,19,0.0182,-343.8391,5230.76,292.25,,19,-0.0148,0.29
3,BUBBLE,STATIC,LOW,1,7,3.12,3.4,3.12,1107.0,85.0,0.0,0.559,8.78,1054.0,238.9,26.55,6.42,3.605,3.305,0.1938,224.7033,348.95,206.34,4.45,19,0.1938,224.7033,348.95,206.34,4.45,19,0.0,0.0
3,BUBBLE,STATIC,HIGH,1,8,2.82,2.77,2.82,1007.5,80.0,0.0,0.609,13.01,1013.0,177.17,44.02,10.65,2.753,2.811,0.3339,147.6244,591.33,192.99,6.77,19,0.3339,147.6244,591.33,192.99,6.77,19,0.0,0.0
3,BUBBLE,SLOW,LOW,1,9,2.38,2.04,4.71,1333.8,50.0,0.0,1.116,19.05,1236.0,430.92,49.95,12.09,2.498,2.936,0.0319,79.4644,1060.5,230.29,12.58,19,0.0344,65.5252,916.59,230.24,15.26,19,0.0025,-0.05
3,POINT,SLOW,MEDIUM,2,1,1.8,1.91,3.42,2540.8,100.0,0.75,0.536,9.44,1562.0,2659.83,33.0,7.98,3.099,3.015,0.1794,1516.7271,-2073.51,299.82,0.66,19,0.1059,588.7514,-891.11,301.45,1.7,19,-0.0735,1.63
3,POINT,STATIC,LOW,2,2,3.08,3.27,3.08,962.1,100.0,0.0,0.595,13.23,929.0,143.44,36.26,8.77,3.06,2.908,0.0654,45.5021,818.95,189.12,21.98,19,0.0654,45.5021,818.95,189.12,21.98,19,0.0,0.0
3,POINT,FAST,MEDIUM,2,3,1.89,1.87,3.55,2628.2,100.0,0.75,0.689,13.05,1777.0,3270.58,42.28,10.23,3.042,3.202,0.1203,1419.5875,-1829.46,308.82,0.7,19,0.1453,1020.5834,-3461.09,308.27,0.98,19,0.025,-0.55
3,POINT,STATIC,MEDIUM,2,4,3.09,3.24,3.09,1002.6,100.0,0.0,0.465,8.88,975.0,217.42,32.2,7.79,3.158,3.022,0.06,61.7278,815.58,207.33,16.2,19,0.06,61.7278,815.58,207.33,16.2,19,0.0,0.0
3,POINT,SLOW,HIGH,2,5,1.77,1.84,3.61,2160.0,100.0,0.4,0.474,7.5,1754.0,1146.63,30.44,7.36,3.12,3.054,0.0178,203.5342,1370.31,260.68,4.91,19,0.0172,174.487,911.26,260.69,5.73,19,-0.0006,0.01
3,POINT,STATIC,HIGH,2,6,3.49,3.72,3.49,1000.2,100.0,0.0,0.439,7.96,984.0,192.52,29.01,7.02,3.596,3.41,0.2134,146.0169,499.41,199.24,6.85,19,0.2134,146.0169,499.41,199.24,6.85,19,0.0,0.0
3,POINT,FAST,HIGH,2,7,1.27,1.42,2.7,3541.0,100.0,0.75,0.514,8.94,2051.0,4053.98,30.31,7.33,3.051,2.885,0.1672,1991.1794,-2075.0,315.83,0.5,19,0.1607,1535.9233,-5417.6,315.97,0.65,19,-0.0065,0.14
3,POINT,SLOW,LOW,2,8,2.22,2.25,4.36,1911.4,100.0,0.3,0.641,12.33,1288.0,2188.46,38.57,9.33,2.913,2.973,0.0004,58.8679,1752.45,296.23,16.99,19,0.0143,246.3589,495.33,295.96,4.06,19,0.0139,-0.27
3,POINT,FAST,LOW,2,9,1.88,1.92,3.42,2604.1,100.0,0.65,0.584,10.26,1736.0,2655.58,35.43,8.57,3.257,3.309,0.2347,1707.9281,-3020.05,298.48,0.59,19,0.1548,708.523,-1618.56,300.37,1.41,19,-0.0799,1.89
3,AREA,STATIC,LOW,3,1,2.9,3.12,2.9,905.8,80.0,0.0,0.749,13.83,860.0,146.67,33.33,8.06,2.726,2.55,0.0412,27.4377,816.03,184.14,36.45,19,0.0412,27.4377,816.03,184.14,36.45,19,0.0,0.0
3,AREA,SLOW,MEDIUM,3,2,1.64,1.6,3.46,2647.5,90.0,0.35,0.734,12.46,1421.0,2139.63,40.41,9.78,2.648,2.814,0.1609,828.4768,5.22,281.67,1.21,19,0.1591,619.6477,-1244.64,281.71,1.61,19,-0.0018,0.04
3,AREA,STATIC,MEDIUM,3,3,2.47,3.5,2.47,1298.0,100.0,0.0,0.285,4.71,1304.0,221.05,12.34,2.98,4.406,3.162,0.3392,135.7808,851.65,198.86,7.36,19,0.3392,135.7808,851.65,198.86,7.36,19,0.0,0.0
3,AREA,STATIC,HIGH,3,4,2.14,3.01,2.14,1261.5,100.0,0.0,0.252,4.45,1296.0,162.96,15.17,3.67,3.786,2.713,0.4679,159.9922,823.44,185.33,6.25,19,0.4679,159.9922,823.44,185.33,6.25,19,0.0,0.0
3,AREA,FAST,MEDIUM,3,5,1.58,1.55,3.02,2547.9,100.0,0.35,0.679,12.16,1818.0,1903.02,41.01,9.92,2.828,3.007,0.0504,565.9537,889.12,289.77,1.77,19,0.0978,460.5984,-104.68,288.79,2.17,19,0.0474,-0.98
3,AREA,FAST,HIGH,3,6,1.38,1.34,2.73,3365.4,100.0,0.25,0.618,10.66,2369.0,2535.49,39.67,9.6,3.145,3.365,0.0429,617.6011,1410.1,300.1,1.62,19,0.0386,525.482,64.48,300.18,1.9,19,-0.0043,0.08
3,AREA,FAST,LOW,3,7,1.49,1.65,2.85,3078.9,80.0,0.0,0.767,11.35,2266.0,1827.77,26.3,6.36,3.639,3.303,0.0332,-394.3187,4146.71,281.18,,19,0.0025,-70.2665,3290.81,281.77,,19,-0.0307,0.59
3,AREA,SLOW,LOW,3,8,1.45,1.57,2.86,2384.8,95.0,0.05,0.514,10.04,1945.0,1519.56,34.57,8.37,3.185,3.026,0.3228,951.1559,-526.39,274.8,1.05,19,0.2253,479.1166,-453.82,277.36,2.09,19,-0.0975,2.56
3,AREA,SLOW,HIGH,3,9,1.31,1.36,2.63,2959.9,100.0,0.3,0.554,11.14,2680.0,1675.8,37.33,9.03,3.103,3.011,0.3142,1467.0447,-1620.36,274.93,0.68,19,0.2386,731.5093,-1605.56,276.91,1.37,19,-0.0756,1.98
