participant,technique,movement,clustering,trial,time_ms,errorClicks,amplitude_px,targetRadius,clickInside,distNorm,distPx,targetSpeed,targetVx,targetVy,clickX,clickY,targetX,targetY,prevTargetX,prevTargetY
1,POINT,SLOW,MEDIUM,18,743.0,0.0,300.23,19.440901097238413,True,0.523,10.16,120.0,35.32,-114.68,361.0,57.0,350.9,57.9,83.1,193.7
1,POINT,SLOW,MEDIUM,19,1359.0,1.0,225.37,28.589779629133183,True,0.233,6.65,120.0,73.17,95.11,158.0,178.0,156.3,171.6,350.9,57.9
1,POINT,SLOW,MEDIUM,20,1457.0,1.0,410.88,10.646602874323722,True,0.63,6.71,120.0,93.28,-75.49,58.0,577.0,61.7,571.4,156.3,171.6
1,POINT,FAST,HIGH,1,1585.0,2.0,,17.280821463173208,True,0.928,16.04,134.74,-130.14,34.89,357.0,526.0,341.2,529.0,,
1,POINT,FAST,HIGH,2,1348.0,1.0,113.93,12.762060696276219,True,0.15,1.92,137.63,120.99,-65.61,457.0,526.0,455.1,526.5,341.2,529.0
1,POINT,FAST,HIGH,4,878.0,0.0,448.87,15.305438609982998,True,0.259,3.97,87.99,-87.35,10.53,216.0,472.0,212.0,471.9,190.1,23.5
1,POINT,FAST,HIGH,5,1407.0,1.0,427.92,24.94778377753387,True,0.326,8.14,76.98,-42.7,64.06,35.0,91.0,33.4,83.0,212.0,471.9
1,POINT,FAST,HIGH,6,1799.0,3.0,546.92,15.62860119238403,True,0.282,4.41,98.16,0.0,98.16,581.0,40.0,578.4,36.5,33.4,83.0
1,POINT,FAST,HIGH,7,860.0,0.0,338.08,20.23187846101731,True,0.691,13.97,141.19,-110.09,-88.41,254.0,51.0,240.8,55.7,578.4,36.5
1,POINT,FAST,HIGH,8,974.0,0.0,383.17,10.94566472829049,True,0.705,7.72,133.46,87.88,-100.44,440.0,385.0,445.5,379.6,240.8,55.7
1,POINT,FAST,HIGH,9,1455.0,1.0,302.18,24.466538468912592,True,0.048,1.17,146.09,-138.33,46.95,383.0,83.0,383.8,83.8,445.5,379.6
1,POINT,FAST,HIGH,10,888.0,0.0,186.07,10.879720283623529,True,0.533,5.8,100.28,78.44,62.46,203.0,102.0,198.4,98.5,383.8,83.8
1,POINT,FAST,HIGH,11,1163.0,1.0,174.88,23.288509749680063,True,0.171,3.98,129.45,117.38,-54.57,183.0,272.0,186.8,273.0,198.4,98.5
1,POINT,FAST,HIGH,12,1847.0,2.0,200.34,11.095154237828924,True,0.54,5.99,133.85,120.78,-57.7,363.0,373.0,363.7,367.1,186.8,273.0
1,POINT,FAST,HIGH,13,1344.0,1.0,224.81,22.992308361514873,True,0.842,19.37,137.63,-118.09,-70.68,454.0,163.0,472.0,170.0,363.7,367.1
1,POINT,FAST,HIGH,14,2171.0,2.0,152.86,15.632010963236487,True,0.476,7.44,122.83,-45.57,-114.07,331.0,206.0,323.6,206.4,472.0,170.0
1,POINT,FAST,HIGH,15,1021.0,0.0,381.0,18.791448557930902,True,0.546,10.26,98.49,-50.38,-84.63,563.0,491.0,565.2,501.0,323.6,206.4
1,POINT,FAST,HIGH,16,815.0,0.0,453.73,26.87861615325186,True,0.905,24.33,88.76,-88.52,-6.52,321.0,92.0,340.1,107.1,565.2,501.0
1,POINT,FAST,HIGH,17,830.0,0.0,294.22,11.917740260686802,True,0.934,11.14,180.34,41.86,-175.42,315.0,411.0,313.1,400.0,340.1,107.1
1,POINT,FAST,HIGH,18,1058.0,1.0,268.04,12.096466567312751,True,0.294,3.56,141.09,119.19,75.5,75.0,283.0,71.5,283.8,313.1,400.0
1,POINT,FAST,HIGH,19,853.0,0.0,46.51,12.933207823096133,True,0.664,8.59,161.46,-4.95,-161.38,63.0,242.0,70.2,237.3,71.5,283.8
1,POINT,FAST,HIGH,20,1800.0,3.0,238.09,28.991456735664933,True,0.956,27.73,138.11,-66.54,121.02,329.0,187.0,301.8,181.9,70.2,237.3
1,POINT,FAST,LOW,1,909.0,0.0,,10.862624947936194,True,0.428,4.65,134.7,52.93,123.87,577.0,76.0,578.4,80.4,,
1,POINT,FAST,LOW,3,698.0,0.0,480.47,20.55689695153512,True,0.53,10.9,136.5,97.77,-95.25,411.0,351.0,411.1,340.1,44.0,30.2
1,POINT,FAST,LOW,4,1220.0,2.0,349.74,18.516645185392417,True,0.846,15.66,130.54,-33.11,-126.27,123.0,171.0,109.3,163.4,411.1,340.1
1,POINT,FAST,LOW,5,2373.0,3.0,99.5,11.358195689467493,True,0.408,4.63,123.23,-10.81,122.75,101.0,259.0,97.6,262.2,109.3,163.4
1,POINT,FAST,LOW,6,1315.0,1.0,385.54,12.540559399023168,True,0.454,5.69,166.52,160.45,44.55,363.0,535.0,364.4,540.5,97.6,262.2
1,POINT,FAST,LOW,7,2223.0,4.0,510.79,18.086618671511772,True,0.302,5.46,108.44,82.02,-70.93,436.0,39.0,433.1,34.4,364.4,540.5
1,POINT,FAST,LOW,8,862.0,0.0,512.85,29.44336797592142,True,0.749,22.06,113.58,-14.06,-112.71,492.0,543.0,514.0,540.8,433.1,34.4
