participant,technique,movement,clustering,conditionIndex,techBlock,trialNumber,time_ms,errorClickCount,clickX,clickY,targetX,targetY,distanceToCenter_px,normalizedDistance,clickedInsideTarget,amplitude_px,targetRadius,targetVx_px_per_s,targetVy_px_per_s,targetSpeed_px_per_s,shannon_id_bits
1,POINT,FAST,MEDIUM,3,1,19.0,4274,8,579.0,97.0,583.5,90.1,8.23,0.784,True,407.6,10.49702159826622,0.0,-104.91,104.91,4.351559854932425
1,POINT,FAST,MEDIUM,3,1,20.0,2007,1,376.0,412.0,370.4,406.7,7.68,0.577,True,381.66,13.300130139854584,-61.95,87.99,107.61,3.9399768761693608
1,POINT,STATIC,HIGH,4,1,1.0,771,0,245.0,501.0,242.3,493.0,8.48,0.374,True,,22.661790855854452,0.0,0.0,0.0,
1,POINT,STATIC,HIGH,4,1,2.0,758,0,567.0,349.0,560.0,350.0,7.07,0.403,True,348.37,17.548184825836085,0.0,0.0,0.0,3.449706345799457
1,POINT,STATIC,HIGH,4,1,3.0,828,0,119.0,523.0,108.1,512.3,15.25,0.867,True,480.17,17.598379948580924,0.0,0.0,0.0,3.8720849591890456
1,POINT,STATIC,HIGH,4,1,4.0,527,0,321.0,441.0,312.2,430.2,13.95,0.474,True,219.97,29.43535545792821,0.0,0.0,0.0,2.2438192562644397
1,POINT,STATIC,HIGH,4,1,5.0,690,0,373.0,124.0,367.9,125.2,5.25,0.274,True,310.09,19.172443809315,0.0,0.0,0.0,3.1837829368990684
1,POINT,STATIC,HIGH,4,1,6.0,763,0,525.0,37.0,524.4,48.1,11.11,0.625,True,174.47,17.768041352985747,0.0,0.0,0.0,2.563074554518795
1,POINT,STATIC,HIGH,4,1,7.0,734,0,419.0,46.0,422.0,49.9,4.87,0.44,True,102.45,11.070646608095467,0.0,0.0,0.0,2.492391858556091
1,POINT,STATIC,HIGH,4,1,8.0,792,0,121.0,90.0,124.9,90.4,3.9,0.25,True,299.84,15.61534526818316,0.0,0.0,0.0,3.406102921571956
1,POINT,STATIC,HIGH,4,1,9.0,742,0,303.0,399.0,301.4,397.4,2.27,0.185,True,354.13,12.286681707001886,0.0,0.0,0.0,3.945900993034538
1,POINT,STATIC,HIGH,4,1,10.0,826,0,535.0,81.0,541.7,85.9,8.35,0.632,True,393.44,13.200733869199029,0.0,0.0,0.0,3.9911546278864614
1,POINT,STATIC,HIGH,4,1,11.0,561,0,414.0,150.0,415.9,162.1,12.28,0.495,True,147.16,24.814916247577518,0.0,0.0,0.0,1.9873761925985751
1,POINT,STATIC,HIGH,4,1,12.0,603,0,283.0,394.0,268.4,387.5,15.95,0.903,True,269.33,17.67294799133933,0.0,0.0,0.0,3.107660749359276
1,POINT,STATIC,HIGH,4,1,13.0,919,0,73.0,455.0,66.7,455.8,6.33,0.603,True,212.94,10.500230090893394,0.0,0.0,0.0,3.4776485514444455
1,POINT,STATIC,HIGH,4,1,14.0,584,0,172.0,207.0,158.1,210.1,14.28,0.679,True,262.16,21.020522303823405,0.0,0.0,0.0,2.8551546852210805
1,POINT,STATIC,HIGH,4,1,15.0,625,0,101.0,236.0,109.9,232.6,9.49,0.406,True,53.19,23.373754908973314,0.0,0.0,0.0,1.096136753858708
1,POINT,STATIC,HIGH,4,1,16.0,658,0,243.0,111.0,247.9,108.7,5.4,0.368,True,185.48,14.666843916617168,0.0,0.0,0.0,2.872455560813893
1,POINT,STATIC,HIGH,4,1,17.0,680,0,145.0,313.0,151.5,306.2,9.39,0.549,True,219.76,17.111481146058356,0.0,0.0,0.0,2.891695173219817
1,POINT,STATIC,HIGH,4,1,18.0,590,0,419.0,405.0,401.5,409.6,18.08,0.727,True,270.62,24.858364246004612,0.0,0.0,0.0,2.6877859500573695
